"Song_Name","AVG_Energy","SD_Energy","ZCR_mean","ZCR_sd","Centroid","BW","RollOff","BER_subbass","BER_bass","BER_low_mid","BER_mid","BER_high_mid","BER_treble","MEL_mean","MEL_sd","Genero"
"Clifford Brown & Max Roach - Joy Spring [6tBJa8Ew6fQ].wav",0.0252032428541561,0.0457874930044566,0.0291528919879987,0.0197899831872932,2.11583576383707,3.41574433574228,515.625,0.319500059148888,0.104264766262875,0.0550041188932793,0.0424654208251357,0.0155788650162185,0.00321444835679786,-2.14616634268262,13.4569112570959,"Jazz"
"Dave Brubeck - Take Five [vmDDOFXSgAs].wav",0.0135913616133565,0.034450418422894,0.0627775771382005,0.0448389403919184,2.80640255300812,3.63524854667408,890.625,0.142942800496618,0.114723038070641,0.17680998394161,0.087309863434298,0.00671064451516117,0.00724298760977795,-3.26585932962286,18.3509438332684,"Jazz"
"Eddie Harris & Les McCann - Compared To What [fvJzCdgB3Tc].wav",0.0155720654798415,0.0301553513593863,0.0348023622995148,0.0220298909644598,1.86374296226622,2.68334303749306,515.625,0.350575304140299,0.189616015652542,0.0556814315966852,0.0230319729533211,0.012353520721303,0.00869526741313458,-2.76097647965345,16.1878558134213,"Jazz"
"Green Chimneys [10cYHU9j31Q].wav",0.0192327913837249,0.0425006596932099,0.0460621782049857,0.0360020115501973,2.95646946455207,4.12173674214973,609.375,0.249475755753849,0.158257872033232,0.0334885239864502,0.0372423182108792,0.0190262899987142,0.00886170896034732,-2.52246019843003,13.9962282682921,"Jazz"
"Hank Mobley - Soul Station  1960 HQ [9ohyLzAu_qM].wav",0.0301728491428693,0.0567474524202543,0.0554389145090195,0.0424961527685759,3.2071559309344,4.30233117317309,750,0.166336047172651,0.30845155473909,0.0852650100955992,0.0403525746986772,0.0231400562130767,0.0199527113346618,-3.55727572315194,12.6314751291305,"Jazz"
"Horace Silver - Song for My Father [CWeXOm49kE0].wav",0.0422856851236085,0.079198799506389,0.0479179399562915,0.0233501457319112,2.10070560401456,2.54788328202054,1500,0.175093047270432,0.205896477727744,0.105315286364139,0.110983140473957,0.0347825587309481,0.00547187808007508,-3.34560114769552,15.5357658647373,"Jazz"
"If I Were A Bell - The Miles Davis Quintet [36wafFjFdYs].wav",0.010913783969342,0.0246585526759826,0.0552904026373301,0.0553885748849979,3.24894599613364,4.06783142131863,421.875,0.241167153699089,0.11573147294674,0.0095716978990237,0.0381187739517846,0.0488487167728436,0.0636405103064472,-2.92026262030165,17.739390394379,"Jazz"
"Jimmy Smith - When Johnny Comes Marching Home [KsAf0ra6Vd4].wav",0.0288464664716011,0.0506614426092634,0.0256836407749009,0.025188767906969,1.73263757581864,2.74058741145357,281.25,0.666358459066114,0.0374096151278107,0.0155650812929121,0.0046958920650234,0.00232420911852828,0.00484060420470323,-0.841113869074482,19.1675231027552,"Jazz"
"Joe Henderson - Blue Bossa [M69YdmAJoLs].wav",0.0228740223322589,0.0467174150998557,0.0314202735489129,0.0188325736623807,1.58097627495696,2.57350571240706,1171.875,0.149699847710882,0.163065332037714,0.0993978855560747,0.0926488480813873,0.0111714570152654,0.00133384886679548,-3.70556142148363,14.9508557807664,"Jazz"
"John Coltrane - Blue Train [YjRbmtrDJI4].wav",0.0319319470784746,0.0617016597764927,0.069912513427418,0.0527467048754431,3.49483592158001,4.32080516927917,1453.125,0.163371258171503,0.176975776398818,0.133220293604679,0.114040722388036,0.053903020068781,0.0249234668162426,-3.97538969309292,16.5719426081006,"Jazz"
